X;Y;Z;R;G;B;viz50;viz100w;viz100;viz100t;viz100g;viz300;treedist;t
1007.796;4.5;-218.355;0.529;0.039;0.639;33.306;36.305;24.638;24.093;40.197;23.478;29.168;0
1004.821;4.5;-218.172;0.549;0.059;0.627;35.489;38.789;26.043;25.246;41.35;24.575;28.551;0
1001.847;4.5;-217.988;0.573;0.078;0.612;37.268;40.558;27.301;26.379;42.42;25.759;28.235;0
998.872;4.5;-217.804;0.584;0.086;0.604;38.238;41.596;27.763;26.861;43.426;26.274;28.231;0
995.897;4.5;-217.621;0.596;0.098;0.6;38.561;42.191;28.329;27.301;44.076;26.503;28.169;0
992.922;4.5;-217.437;0.639;0.137;0.569;40.582;44.852;30.342;28.958;45.523;27.267;27.739;0
989.948;4.5;-217.254;0.675;0.169;0.549;41.31;46.37;31.768;29.985;46.383;27.687;27.114;0
986.973;4.5;-217.07;0.694;0.184;0.537;41.795;47.344;32.627;30.279;47.326;27.858;26.764;0
983.998;4.5;-216.886;0.71;0.196;0.529;41.956;48.046;33.298;31.013;48.102;28.011;26.744;0
981.023;4.5;-216.703;0.725;0.212;0.518;42.441;48.878;34.053;32.04;48.983;28.078;27.055;0
978.049;4.5;-216.519;0.745;0.227;0.506;44.058;50.456;35.102;32.963;50.283;28.307;27.612;0
975.074;4.5;-216.336;0.757;0.243;0.498;44.786;51.259;35.94;33.655;51.269;28.498;27.613;0
972.099;4.5;-216.152;0.769;0.251;0.49;45.109;51.761;36.549;34.263;52.023;28.593;27.933;0
969.125;4.5;-215.968;0.776;0.259;0.486;44.867;52.242;37.199;34.766;52.883;28.755;27.674;0
966.15;4.5;-215.785;0.784;0.263;0.482;44.786;52.664;37.786;35.144;53.785;28.908;27.197;0
963.175;4.5;-215.601;0.792;0.271;0.478;45.352;53.397;38.562;36.108;54.749;29.07;26.993;0
960.2;4.5;-215.418;0.796;0.275;0.475;45.028;53.705;39.128;36.674;55.525;29.023;27.117;0
957.226;4.5;-215.234;0.796;0.278;0.471;44.624;53.989;39.799;37.261;56.511;28.689;27.565;0
954.251;4.5;-215.05;0.8;0.278;0.471;44.301;54.338;40.428;37.912;57.329;28.154;27.855;0
951.276;4.5;-214.867;0.8;0.278;0.471;43.735;54.926;41.455;38.834;58.482;27.925;27.986;0
948.301;4.5;-214.683;0.804;0.282;0.467;43.492;55.626;42.378;39.631;59.467;28.259;28.296;0
947.05;4.5;-212.545;0.502;0.016;0.655;27.728;34.061;22.206;20.717;32.103;17.417;30.256;0
948.357;4.5;-209.892;0.459;0.012;0.647;23.12;28.135;16.544;16.335;26.651;13.361;32.898;0
949.664;4.5;-207.24;0.4;0.016;0.631;20.372;25.291;14.112;14.112;23.317;10.928;35.407;0
950.972;4.5;-204.587;0.353;0.02;0.616;18.513;23.122;12.581;12.581;20.885;8.99;37.91;0
952.279;4.5;-201.935;0.31;0.02;0.604;16.815;21.273;11.281;11.281;18.767;7.988;40.473;0
953.586;4.5;-199.282;0.275;0.02;0.596;15.521;19.896;10.338;10.338;17.32;7.416;43.088;0
954.893;4.5;-196.63;0.239;0.024;0.584;13.824;18.141;9.331;9.331;15.915;6.938;45.743;0
956.2;4.5;-193.977;0.208;0.024;0.576;12.692;16.51;8.346;8.346;14.615;6.566;48.213;0
957.507;4.5;-191.324;0.184;0.024;0.569;11.884;14.836;7.633;7.633;13.525;6.337;50.7;0
958.815;4.5;-188.672;0.184;0.024;0.569;29.264;23.26;7.612;7.612;6.752;5.583;53.236;0
960.122;4.5;-186.019;0.204;0.024;0.573;31.609;25.628;8.22;8.22;7.297;5.994;55.813;0
961.429;4.5;-183.367;0.208;0.024;0.576;31.932;25.32;8.346;8.346;7.381;6.003;58.427;0
962.736;4.5;-180.714;0.212;0.024;0.576;31.851;24.886;8.429;8.429;7.549;6.003;61.071;0
964.043;4.5;-178.062;0.216;0.024;0.576;31.285;24.491;8.618;8.618;7.758;6.06;63.743;0
965.351;4.5;-175.409;0.224;0.024;0.58;30.558;24.174;8.87;8.87;7.926;6.108;66.44;0
